별점,리뷰,긍/부정
4,맛있게 잘 먹었어요!,1
5,예상시간보다 빠르고 맛있네요!!아주 굳입니다요!,1
5,너무 맛있고 서비스 계란찜도 너무 맛있습니다 ㅠㅠ,1
5,맛잇어요 엄청 자극적이지도 않고 양도 풍부해서 밥도 볶아먹을거에요 서비스 계란찜도 맛잇게 먹겟습니다~,1
5,맛있게 잘 먹었습니다,1
4,..........,1
5,배달도 빠르구 맛있게 잘먹었어요??,1
4,곱창이 살짝 질긴것 빼곤 맛있습니다%^^,1
5,대박집의 여운 향기가..아직도 부드러운 촉촉한 계란찜 비결을 알고 싶습니다 답변좀 ^^^^^,1
3,계란찜이 커서 좋은데.. 막창은 많이 없고 야채가 많아서 신랑은 별루였데요 가격대비 ㅋ 더는 그냥 잘 먹었습니다~,1
4,맛있게잘먹었어요 수고하세요,1
5,서비스로오는 계란찜이 메인메뉴만큼 엄청난 양이네요 막창 냄새도 안나고 너무 맛있습니다. 존맛탱,1
5,감사히 잘 먹었습니다..,1
5,계란찜양도랐구요 겁나혜자입니다 ㅜㅜ다들시키새요,1
5,오...곱창도많고 맛있어요~~,1
5,여러모로 만족합니다~,1
5,몇번 먹어 봐도 양도 만족스럽고 맛도 만족스럽네요,1
5,맛나게 먹었습니다. 양도 푸짐해서 배가 터질 것만 같네요.ㅎㅎ,1
5,맛있게 잘 먹었습니다~~,1
5,알곱창에 곱창이 좀더 맗았으면 좋겠어요. 아주매운맛이 인위적으로 매운맛이 아니라서 좋습니다. 잘먹었어요,1
4,잘먹었습니다 감사합니다,1
5,양 많고 맛있어요 서비스 너무 감사합니다 또 시켜먹을거에요 ㅠ?? ㅠ?? 존맛탱,1
5,소금구이 맛있어요~!,1
5,아주 좋아용 양도 적당해요,1
5,배달이 빠르고 맛있게 먹었습니다,1
5,임신중인데 요근래 먹은거 중에 최고 맛있게 먹었어용!!! 양도 많고 잡내도 없고 소스도 맛있고 밥에 김가루 뿌려서 양념까지 싹싹 긁어먹었어요~~ 1단계로 시켰는데 순한게 먹기 좋네요ㅎㅎㅎ 계란찜도 너무 부드럽고 맛있었어요^^ 우연히 할인 되길래 처음먹었는데 진짜진짜 맛있게 먹었습니당~ 번창하세요 사장님????????,1
5,맛있게 먹었네요 양도 꽤 많이 푸짐하고 좋네요 배달도 빠르고 좋네요 ㅋㅋ,1
5,맛있어요 잘먹을게요 !! 전화도 친절하게받아주셔서 좋았어요,1
5,빠르게 왔고 양도 많아요 계란찜까지 맛있게 잘 먹었습니다,1
5,하아 너무 맛있어요 둘이 먹으면 배터질 양입니다 셋이서 2인분 시키세요,1
5,양이 엄청 많네요 먹을만큼 덜어서 먹어서 사진이 전체양의 반입니다 곱창이 좀 질기지만 맛있게 맵고 맛있어요 당면은 제가 집에서 따로 넣었어요 서비스 계란찜 감사합니다,1
5,배 터질 거 같아요 잘 먹었습니다,1
5,지난번 곱창 맛있게 먹어서 알곱창도 시켜봤어요 양도 많고 양념 맛있어요 서비스로 주신 계란찜도 부드럽고 맛있네요^^ 남은 양념에 밥 볶아 먹어도 맛을거 같아요~~,1
4,당면을 추가해야하는줄 몰랐네요ㅜ 그래도 맛있게 잘 먹었습니다,1
5,너무 맛있습니당 ><,1
5,배달이 아주 빨라서 놀랐고 받았을때 음식이 엄청 뜨뜻하니 아주 맛있게 잘 먹었습니다:) 안에 당면이랑 떡사리도 조금 들어있고 특히 서비스인 계란찜도 너무 맛있었습니다 사장님ㅠ!!!,1
5,전 좋았습니다. 서비스로 주신 계란찜이 일품이에요.,1
5,맛있게 먹었습니다. 고마워요.,1
5,늦은 새벽에 혼자 먹느라 배터졋네여 맛있게 잘 먹었습니다,1
4,맛있었어요~ 서비스로 온 계란찜이 본 메뉴보다 더 커요ㅋㅋㅋㅋㅋ,1
5,배달 처음 도전하는 메뉴였는데 잘 선택한거 같아요~ 소금구이에 곱창이랑 야채도 같이 먹을수 있어 좋았고 계란찜은 서비스 같지않게 너무 푸짐~^^,1
5,급해서 사진은 못 찍었습니다 먹느라.. 잡내도 하나도 안 나고 맛있게 먹었습니다 !! ㅎㅎㅎ 계란찜도 맛있게 먹었습니다 !!,1
5,맛있게 잘 먹었습니다! 계란찜 서비스도 감사합니다,1
4,늘 맛있어서 시켜 먹는 곳 입니당 ㅎㅎ,1
5,자주 시켜먹는데 맛있어요~,1
5,너무맛있었어요진짜ㅠㅠ사방님 너무친절하세요!!,1
5,맛있습니다요 ㅎㅎㅎ,1
5,양도 많고 맛있어요 곱창이랑 주먹밥이랑 같이 먹으면 존맛이에요 ㅠㅠ,1
4,일주일에 한 번씩은 시켜먹는 듯 한데 알곱은 처음으로 시켜봐요. 다른 곳에서는 먹어봤지만 마약곱창에서는 처음인데 알곱 자체의 특유의 향이 강하지만 잡냄새는 강하지 않았어요. 다만 늘 시켜먹는 곱창볶음에는 곱창과 야채 비율이 적당했는데 알곱은 알곱보단 야채가 더 많고 야채에서 나온 물이 많아 개인적으로 취향에는 맞지 않았어요. 기존 먹던 곳들은 야채 비율이 적어 물이 적고 알곱 양이 많고 식감도 쫄깃했는데 마약곱창 알곱은 야채가 많고 야채에서 나온 물이 많아 그런지 알곱의 쫄깃한 식감은 느낄 수 없고 부드러운 편이었어요.,1
5,음식도 맛있었고 아채들도 되게 신선했어요! 그리고 생각지도 못한 사장님의 서비스까지~♡ 앞으로 자주 시켜 먹어야겠어요.,1
5,식어도 잡냄새 없이 쫄깃하니 맛있어요. 서비스로 주시는 계란찜도 부드럽고.. 다만 몇 일 사이에 가격이 올라 아쉬워요.,1
5,양도 많고 맛있네요. 아이들이 좋아합니다. 계란찜 양이 대박입니다....,1
4,음 제입맛에는 좀달았어요^^;; 아이들도 곱창을 잘먹어서 맵지 않게 잘먹었습니다,1
5,넘 맛있게 먹었어요.~~ 적당히 맛있게 매워 남편과함께 즐저녁 되었어요.^^,1
5,2단계로 주문했는데 매콤하니 좋네요.^^ 빠른 배달 감사합니다. 새해 복 많이 받으세요.^^,1
5,맛있게 잘먹었습니다,1
4,양념이 좀 강하지않았나 싶습니다.,1
5,사장님 기똥차게 맛있습니다~~바쁘실텐데 ~순대 조금 터졌다고 직접 전화하셔 미안하시다며 계란찜까지 써비스~~^^ 정말 맛있게 잘 먹겠습니다 오래 기다린보람이 있습니다 맛 ~양~최고입니다,1
5,잡냄새 없이 무난하게 먹을 수 있는 맛! 서비스 계란찜은 배달 거리의 차이와 배달 후 조금 더 놔뒀다 열면 우리가 흔히 아는 계란찜이고 부드러워요. 가게와 배달 거리 배달 시간이 빠르면 순두부처럼 몽글몽글해요.그래도 부드럽고 간이 딱 맞아 좋아요. 개인적으로 매운맛을 즐기는데 제 입에는 2단계 3단계 매운 맛의 정도 차이가 안 느껴져요.,1
5,양도 많고 맛있네요~,1
5,오랜만에 재주문해서 먹었어요 여전히 맛있네요,1
5,양도 많고 맛잇게 잘먹엇어요~~,1
2,솔직하게 양념이나 야채막창의양 푸짐하고 맛있어 좋긴 합니다만은... 막창이 무슨 고무 씹는거 마냥 엄청 질깁니다...이빨이 아플 정도로요...,-1
5,두번째매운단계(?)로 선택했는데 다음엔 아주맵게로 해야하나봐용. 생각보다 매운맛은 덜했지만 기본적인 맛은 좋았습니다.잘먹었어요~,1
5,너무 맛있어요! 빨간 양념이라 매울까 걱정했는데 매운 거 못 먹는 사람도 맛있게 먹을 정도라 좋았어요 서비스 계란찜 역시 양도 많고 맛있네요... 담에 또 시켜먹을 것 같아요!,1
5,식어도 잡냄새 없고 맛있네요. 배달 왔을때 처음보다 하루 지나니 양념이 베여 더 맛있어요. 서비스 계란찜은 순두부처럼 몽글몽글하니 간이 딱 맞아 곱창과 케미가 끝내줬어요.,1
1,막창 맛은 완전 소금에 절여놓은듯한 짠맛이나고 야채로둔갑하여 양이많게 보이게했을뿐 막창은 실제로 그렇게 많지않았어요 배달또한 1시간30분이넘어서야도착했네요 다시는시키고싶지않은곳이에요,-1
5,완전 맛있어요 ㅎㅎ 진짜 거의 여기서만 시켜먹는듯!!!,1
5,배달은 늦었지만 맛있어서 만족했어요. ^^,1
5,항상 시켜먹는 곳 맛있어요 ㅎㅎ,1
5,양도 적당하고 매콤하고 맛있어요. 소주 안주로 딱이에요. 근데 먹다보니 좀 달아서 질리는감이 있네요. 그것만 빼고는 맛은 좋습니다~ (제가 단 음식을 불호 하는편 입니다~),1
5,맛있습니다.잘먹었습니다,1
5,40분만에 아주 따끈하게 왔습니다 같이 온 상추가 싱싱했고 고추가 적당히 매워서 입맛 돋구네요 쌈장이 좀 더 많았으면 좋겠어요 아낌없는 야채투하로 고급진느낌입니다,1
5,두번째 주문입니다...첫번째 서비스계란찜 진심 잘 먹었고 배달 40분 맛 완벽...두번째도 역시 실망없는 별5개입니다..냄새없고 곱도 만족스럽네요 담엔 꼭 일회용기 빼주실거조? ^^;;,1
5,맛있게 잘 먹었습니다,1
5,처음먹어보는데 계란찜 대박이네요 ㅎ 자주시켜먹을게요. 맛 좋습니다~,1
5,사장님이 너무 친절하세요 몇 번 전화 주셔서 혹시 잘못 갔는지 물어봐주시고 그레서 놀랐어요 맛도 물론 맛잇구요 서비스 계란찜 양이 어마어마하네요,1
5,글씨가 작아서 잘 못보셨는지는 모르갰지만 문앞에 놓주시라고 적었습니다. 방음도 잘 되지 않아 그렇게 적었는데 노크 소리를 듣고 문앞에 두세요 라는 말을 2번했는데도 문을 쾅쾅 두드려서 당황했었습니다. 음식은 정말 맛있었어요!!! 술안주로 제격입니다!! 다음에 또 주문할게요~다음번에 잘 부탁드립니다,1
5,빠른 배달 감사합니다.^^ 탱글탱글 맛있어요.^^,1
5,늘 먹던걸로 2단계 시간 맞춰 잘 오고당면 사리까지 서비스 주셨습니다^^,1
5,마약곱창 너무너무 맛있었어요!! 양은 나쁘진 읺은 정도!! 서비스 계란찜조 짱이었습니다 ㅎㅎ,1
5,진짜 배방맛집 ㅇㅈ,1
4,맛있어요 달걀찜은 서비스 추천해요,1
5,항상 잘 먹고있어여????,1
5,계란찜이 간이 강해져서 더 맛있었어요 곱창은 이동네서 제일 맛있고 깔끔해요,1
5,굿 맛앗엇어용~~~,1
5,계란찜 너무 큰고 아닙니까ㅋㅋㅋ 감사합니다 곶창도 먹을만하네여,1
5,계란찜까지 서비스ㅠ 넘 좋구 담에또 시켜먹을게영^.^,1
5,빠른 배송과 맛 있게 먹었습니다 감사합니다,1
5,처음 시켜보는데 맛있어요!!!,1
4,중간맛 시켰다가 너무 매워서 순한맛 시켰더니 너무 맹탕이었어요 간이 안되니 냄새도 나구요 순한맛도 덜 매우면서 간은 되면 좋겠어요 그래도 맛있는 마약곱창은 사랑입니다,1
4,고기가 약간 질겼어요,1
5,곱창도 맛있지만 계란찜도 너무 맛있어용ㅎㅎㅎㅎㅎ,1
5,모 믿고먹는 막창입니다 인생맛집!!!! 두번째시키는데 역쉬!!! 남편이랑 둘이 먹고 그다음날밥볶음밥해먹었는데넘맛있네요♥♥ 서비스도 굳!!!!!!!감사합니다 꾸벅!!,1
5,맛있게 잘먹었습니다~~양도많고 배송도빠르구,1
5,야곱은 늘 여기서만 시켜먹네요 맛있었어요,1
5,맛있게 먹었습니다!,1
5,저번에 깜빡하고 리뷰못썼어요ㅜ처음시켜먹어봤는데 정말 맛있게 먹었어요 계란찜 대박이예요,1
5,곱창맛있어요 계란찜도짱커여 상추도10장은되는듯,1
5,빠른배송덕분에 기분좋게 먹었습니다 조금 매운맛으로 해도 괜찮았을것같아요 수고하세요,1
5,잘먹었습니다~ 꺼억~,1
4,막창 맛나게 잘먹었습니다 양이 조금 아쉬워요^^ 배달도 조금 늦었지만 시간맞쳐 잘왔구요 계란찜서비스 감사합니다,1
5,맛있어요ㅎ 한번씩 시켜먹을듯ㅎ,1
5,곱창 양도 많고 서비스로 주신 계란찜 양도 많고 배달도 빠르고 흠잡을 것이 없습미다!!! 완전 대박 맛집,1
5,맛있네요 다음에도 주문할게요,1
5,맛있어요 배달도빠르고,1
5,메인보다 큰 서비스 메뉴에 놀랐어요ㅋ 양념보다 소금구이가 훨씬 맛있습니다.,1
4,오늘은양이작고ㅠ 곱창냄새가ㅜㅜ 담엔더신경써주셔야할것같네요,1
5,부모님이 맛있게 드셨어요~~,1
5,넘 맛있어요!! 진짜 곱창 볶음 최고!,1
5,항상 맛있게 잘 먹고있습니다!!,1
5,진짜 너무 맛있어요 전에 먹었을때보다 훠얼씸 맛있어졌어요 맛있게 먹었습니다!,1
5,늦게써서 죄송해요 ㅠㅠ 배달이 예상시간보다 너무 빨리와서 바로 작성이 안되길래 맛있어 보여서 후다닥 먹고 까먹었어요... 진짜 맛있었습니다!! 배달도 되게 빨랐구요 다음에도 또 시켜먹을게요 감사합니다~~!,1
5,먹다보니 사진을 못찍었는데 양도 푸짐하고 맵기가 너무 맛있게 매워서 계속 당기는 맛이네요 ㅎ 맛있게 잘 먹었습니다^^,1
5,처음 주문했어요 배달 빨리 왔고 곱창 매콤하니 양도 많고 맛있어요 서비스로 주신 계란찜도 양이 많네요 잘먹었습니다~~,1
5,소곱창만 먹었지 돼지소곱창볶음 아~주 오랜만에 먹어봅니다. 기대반이었으나 냄새에 민감한저도 괜츈하네여~ 계란찜 서비스로주셔서 배고픈사람 둘이 안주삼아먹고 밥비벼 먹음 딱인데 그렇지않음 사리 추가하시는게 좋을듯싶네여~ 배달만 한시간 넘지 않았더라면...아쉽.. 아! 대지곱창볶음엔 깻잎쌈이 필수! 사이드에 있는줄 몰랐네여ㅉ 섭쑤로 주시는 8장은 부족ㅜㅜ,1
5,맛있게 잘 먹었습니다????????,1
5,진짜 맛있어요 !! 다들 후회안하실거에요 ㅎㅎ 계란찜도 너무 감사합니다 ㅎㅎ,1
5,진짜 넘 맛있구 양도 진짜 많이요...,1
5,매콤하니 넘 맛있어요~ 서비스로 주신 계란찜은 부드럽고 넘 맛있어요~,1
5,맛있게 잘 먹었습니다,1
4,야식으로 소주와 먹기 괜찮은것 같습니다.,1
5,밤에먹으면짱이에용ㅎ,1
5,맛있습니다 맘에드네요,1
5,맛있게 먹었습니다~ 늘 느끼는건데 항상 아쉬움이 남는건 음식양. 그래도 맛있는건 어쩔수 없죠~ 또 시켜 먹을께요~,1
5,오늘은배달빨리왓어요 양이작은것같지만ㅋ 먹기좋아욧 맛나용,1
5,양 많고 항상 맛있습니다 서비스로 챙겨준 계란탕까지 최고였어요 ㅎㅁㅎ,1
5,너무 늦게쓰네요~ 매번 찾는곳인데 늘 그렇듯 맛있었어요 ! :-),1
4,이벤트로 계란찜 서비스로 보내주시고 주문실수도 해결해주시고 맛있게 먹었습니다..,1
5,"처음시켜봤습니다 우선받자마자 서비스에깝놀; 남편도""이게서비스라고?"" 저도 ""이게 서비스야??대박""내가시켰나?싶은정도 계란찜 양이 그냥서비스사이즈가아니예요ㅋㅋ양이 어마어마합니다!!!!맛도 맛있어요 17갤아이가있는데 남편이랑저랑 소주한잔에먹고 아기는 계란찜에밥비벼주니 맛있었는지^^두공기 드셨답니다^^ 맛도맛있고 채소두 신선하고 재주문의향200%입니다~잘먹었습니다.감사합니다.",1
5,맛 있고 양도많지만 배달이 늦어요,1
5,양도 많고 맛있게 먹었습니다!,1
5,곱창 맛있어요!! 계란찜도 진짜 너어어어무 맛있어요ㅠㅠ당면 사리 추가 꼭해드세요 고추많이달라했는데 많이주셔서 감사합니다,1
4,맛있어요. 2단계가 제일 딱 맞는것 같아요 추천!!,1
4,곱창은 맛있고 양도 많고 비린내도 안납니다. 근데 계란찜에서 소주맛이 납니다....? 저만 그런가요?,1
5,곱창은 이제 여기서만 머글게용,1
5,오랫만에 주문인데 역시네요~!!! 넘 맛나요.ㅜㅜ 주먹밥하고팠지만 참았어요. 담엔 주먹밥도ㄱㄱ,1
5,와 포장을 열자마자 계란찜 크기에 놀라고 맛에도 한번 더 놀라고 처음 시켜먹었는데 곱창도 순대도 정말 맛있네요 양도 많아서 다른분들처럼 볶음밥으로 다음날 먹으려고요 주문건 때문에 전화드렸는데 친절히 설명잘해주시고 다음에 또 주문할께요,1
5,와 진짜 너무 맛있었어요 양도 많아서 2명이서 먹었는데 배불렀어요 볶음밥까지 해먹었지만...ㅎ 계란찜은 리뷰 서비스라 그냥 일반 작은 용기에 담겨져 올 줄 알았는데 곱창 담은 용기랑 같은 용기에 담겨져 와서 깜짝 놀랐어요 달달하니 맛있었어요 돈만 많으면 맨날 시켜먹을겁니다 많이 파세요 싸장님 야곱은 무조건 여기서 시켜먹을래요,1
5,언제나 먹어도 맛있어요 쫄깃쫄깃ㅠㅠ계란찜도 부들부들해서 잘넘어가고 완전 맛집이에여????,1
5,여기진짜 장난아니에요 얼마나 장난아니냐면 진짜 장난아니에요 대부분 곱창 시키면 곱창의 양은 별로 없고 당면이나 야채가 밑에 깔려있는데 여기는 당면이랑 야채보다는 곱창이 더 많은거같아요 실물보고 이게 어떻게 2인분이냐ㅋ 했는데 막상 먹어보니까 적당하고 너무 좋았어요 친구랑 같이 먹으면서 와... 곱창이 안줄어만 계속 말한거같네요 맵기는 중간맛으로했는데 살짝 매워서 저한테는 딱 좋았습니다 잘먹었어요 다음에 또 시킬게요!!,1
5,저번에 시켰는데 맛있어서 또 시켜서 잘 먹었습니다!,1
5,최고 계란찜도 많이주시고 너무 좋아용,1
4,배달해주신분 사장님같은데 친절하셨구요 거의 마감전에 주문했는데도 맛있게해주셔서 감사했어요?? 계란찜 진짜맛있어요 꼭 시켜드시고 당면추가하면 좋을것같아요!,1
3,배달빠름. 서비스 계란찜 진짜 양 많아서 대만족. 하지만... 메인메뉴 맛이 너무 달고 양배추를 많이 넣어서 양배추에서 니온 물때문에 싱거워짐...,1
5,3인분 시켰는데 2/1인분 분할포장 해주셔서 너무 편했어요! 서비스로 주신 계란찜도 잘 먹었습니다~ 곱창이 너무 맛있어요!,1
5,타지역으로 이사해서 처음시켜먹는 곱창입니당 여기는 아마 여기있는동안 최애단골일듯여ㅜㅜ 냄새전혀없구 진짜 맛있어요..계란찜은 왜케 크고 푸짐하죠? 사장님 막 퍼주셔서 깜놀이요ㅎ 양과 맛 둘다 너무만족하네요. 잘먹겠습니다^^,1
4,맵기도 좋고 맛있습니다~^^,1
5,양도많고 넘맛있음 리뷰 이벤트 당면넣었는데 진짜 만족이에요,1
5,모듬만먹다가 탱글이시켯는데 역시나최고!,1
4,평소보다 곱창이 조금 질겼어요 ㅜㅜ 맛있게 먹던곳인데 조금만 더 신경써주시면 좋을듯요,1
5,넘 맛있어용!! 계란찜도 달아서 존맛탱,1
5,딱 2명이서 먹기 좋은 양인것 같아요! 배달도 빠르고 처음시켜보는데 정말 맛있게 먹었어요~,1
5,맛있게 잘먹었습니다. 제 입맛이 조금 자극적이라 그런지 조금 더 소금간해도 될것같았습니다. 계란찡이랑 소금막창 둘다요ㅎㅎ 다음에는 요청사항에 넣어둬야 겠습니다 전체적으로 담백한맛이라 좋았습니다.,1
5,간도 적당하고 비린내도 안나고 맛있어요! 날치알 볶음밥 양이 생각보다 엄청많아요~ 계란찜 서비스도 잘먹을게용,1
5,맛있어요 정신없이 먹느라 사진은 못찍었어요 ㅠㅠ 서비스 계란찜도 크고 맛났어요 담에 또 시킬게요,1
4,잘먹었습니다! 리뷰대로 계람찜이 푸짐하네요,1
5,배달 엄청빠르고 양도 적당하고 맛있어요 담에 또 주문할게요,1
5,항상 맛있게 잘 먹습니다아ㅏ,1
5,너무맛있어서 2틀연속으로 시켜먹었어요! 다음엔3단계도전이요!!!!,1
5,오늘좀늦게받앗네요 주2회먹게되용,1
5,진짜 양많고 앞으로 계속 주문예정 ~,1
5,처음 주문했는데 정말 맛있게 잘 먹었습니다:),1
5,양이 진짜 많네요 처음 시켜보는데 곱창양이 ㅎㄷㄷ,1
5,배달도 빠르고 맛있어요!!! 처음 먹는데 냄새도 안나고 맛있어요 계란찜도 부드러워서 좋아요 쌈추가했는데 상추도 싱싱해요,1
5,너무 배고파서 사진 찍는걸 깜빡했습니다 ㅠㅠ 밥이랑 같이 먹어서 양은 부족하지 않았고 서비스로 주신 계란찜 양이 어마어마하긴합니다만 맛은 그냥 그랬어요 곱창은 매운걸 잘 못 먹어서 1단계했는데 단계차이가 어떨지 모르겟지만 다음에 먹으면 2단계로 먹어보려구요 곱창은 정말 맛있었어요 그냥 먹어도 맛있고 밥이랑 같이 먹어도 맛있습니다!,1
5,한입 먹은후 너무 맛있어서 사진 찍는것도 잊고 다 먹어버렸네요. 배달음식을 이번처럼 쌍끌이 한적이 없는데 남김없이 맛있게 먹은 첫경험입니다~ ㅎㅎ 먹는중엔 양이 작은듯 느껴졌는데 서비스로 주신 계란찜과 먹으니 딱 알맞은 양입니다. 식후 딱맞는 포만감으로 기분이 좋네요. 잘 먹었습니다. 싹스리 사진 올려요~^^ ㅋ 흥하세요~ 사장님!!!’,1
5,맛있게 잘 먹었습니다. 서비스로 주신 계란찜 양이 어마어마해요,1
5,처음 시켜봤는데 맛있었어요! 양은 혼자먹는데 넉넉히 먹을 양이었어요! 늦게까지 배달해서 과제 하다 배고플 때 시키기 딱이었어요! 앞으로 자주 시킬게용!!,1
5,궀ㅆㅅㅅㅅㅅㅅㅅㅅㅅ,1
5,너무맛있어요!!! 밥이랑 같이먹으니까 둘이 먹기에 양도 많았고 계란찜도 커서 좋았어요ㅎㅎㅎ 담에 또시켜먹을게용,1
4,맛있었어요오오소오오,1
4,어제는 양이 너무 적었어요 처음시킬때는 많았었는데 점점 줄어드는것 같아요 ㅜㅜ,1
5,대 존맛. 알바 아닙니다 대 존맛이요.,1
5,배달이 조금 느렸지만 맛있게 먹었어요~,1
5,2단계 매운맛으로 주문했더니 딱 좋을 정도로 왔어요. 양도 둘이 술안주하기에 많았고 먹을수록 맛있네요. 번창하세요,1
5,먹다가찍엇어요 곱창은여기가최고,1
5,역시 오늘도 너무너무너무 맛있네요!! 평소 야채곱창만 먹다가 처음으로 다른메뉴 시켜봤어요! 역시 맛있더라구요!!,1
4,오늘 갑자기 땡겨서 시켰어요 근데 막창이 딱딱해서 전자레인지에 돌려야 했습니다... 밥도 조금 딱딱했구요ㅠㅠ 배달은 조금 늦었다고 사과 전화도 주시구 감사하네요! 다음은 더 맛있는 음식이 오길 바라며 또 주문하겠죠? 늘 주시는 서비스는 감사합니다!,1
5,양도 많고 맛있어요,1
5,너무 맛있게 먹었습니다 매운거 못먹는사람이였는데 순한맛 딱 좋았어요! 재주문 확률 100퍼!,1
5,늦은시간 맛있게 잘먹었습니다,1
5,이게 양이 적다는게 말이 안됨 쥰내 많고 맛있어요 다음에도 또 시킬게요,1
5,마약곱창 맛있어요~~~,1
5,배달 빠르고 맛도 좋아서 너무 행복한 한끼 식사였어요!!! 별다섯개!,1
5,맛있어요 곱창볶음은 여기에서만 시켜먹는거 같네여 ?? 계란찜도 서비스로 주시고 맛있게 잘 먹겠슴니다 ??????,1
5,계란찜도 맛있고 볶음도 야채도많고 곱창도많아서 친구랑 맛있게 먹었어요 다음에 또 곱창생각나면 주문하겠습니다,1
5,우와~~ 간도 딱맞고 진짜 맛있었어요ㅎ 천안점에서 시켜먹다가 이사와서 아산점은 처음인데 천안점보다 훨씬 맛있네요ㅎ 계란찜도 비린맛 하나없어서 잘 먹었습니다^^ 자주 시킬게요,1
5,곱창볶음이랑 서비스로 주신 계란찜 맛있게 잘먹었습니다??,1
5,진짜 주먹밥 처음시켜먹어봤는데 개존맛탱 곱창국물이랑 먹으면 환상조합 곱창 매우면 쌈싸서 먹어보세요 덜매움 안맵진않은데 맛있음 그래서 흡임함 자꾸 계란찜도 부들부들 보드라운 계란찜이라 먹기좋음 계란찜도 겁나커서 그것만 먹어도 배부를듯,1
5,맛있어요 맛있어요 ??,1
5,늘 먹던곳이 오늘 휴일이라 마약곱창에서 주문했는데 곱창냄새도 안 나고 기본맛 적당이 매콤하게 잘 먹었어요 다만 양이 둘이 먹기에 부족해서 남은 양념에 야채 넣고 김가루 넣고 볶음밥 해서 먹었는데 감동^^ 계란찜억 잘 먹었네요 담에 곱창 추가해서 먹어야겠어요~~,1
5,늘 애정하는 곳 너무 맛있는 저녁식사였습니다 역시 굿굿굿입니다,1
5,추천할만합니다! 이제 다만 저처럼 혼자 고기 3~4인분 드신다 하시는 분은 저처럼 혼자 먹어야 배가 차네요. 그래도 같이 온 싸먹을 것을 너무 좋았어요! 계란찜도 너무 좋았고요,1
5,말해머해요! 짱 맛!!!,1
4,계란찜에서 비린내가 좀 심하게 나요.. 곱창에도 냄새나요..,1
5,맛있게 잘먹었습니다~~~~ㅎㅎ,1
5,오늘은배달이좀늦엇지만 따뜻하게와서 맛나요,1
4,너므 맵디않고 맛있어요!! 혼자 먹어서 두번에 나눠 먹을 정도로 양은 충분합니다.,1
5,배달도 빠르고 계란찜 서비스 감사합니다.^^ 서비스를 받아서가 아니라 진짜 잡냄새 없이 괜찮네요. 특히 2단계가 적당히 맛있게 매워서 잘 선택한 것 같아요.^^ 감사합니다.,1
5,곱창 양 많아서 배부르게 먹었어요. 2단계인데 좀 매콤해서 서비스로 주신 계란찜 아주 잘 먹었습니다. 남은 양념으러 밥 볶아먹으니 매콤해서 더 좋았어요! 매운거 잘못 드시는 분은 1단계 해얄듯 사장님 서비스 감사해요,1
5,배불리 잘 먹었어요 서비스로 주신 계란찜도 맛있게 먹엇어요,1
5,매운맛은 생각보다 맵진않네요~ 다음번엔 아주 매운맛으로 시킬게요~ 맛있게 잘 먹었습니다^^,1
4,술안주로 주문했는데 그것도 아주매운맛으로... 맛도 있고 맵고 술안주로 너무 잘 먹었네요. 다들 땀 한바가지 흘렸습니다.,1
5,핵맛있네요.... 계란찜도 맛잇어서 잘 먹엇습니다!!,1
5,곱창생각날때 여기서시켜먹네요ㅎ,1
2,양 많고 배달 빨라요~~ 요청사항은 확인 하셨는지 모르겠지만 맛은 추가한것들 다 해서 가격보단 이하였어요..계란찜은 달고 순대곱창은 짰어요 ㅠㅠㅠ,-1
5,맛있어요~~~ 단골 찜~,1
5,잘 먹었습니당~~~,1
4,항시 시키지만 맛이 좋아요 ㅎㅎ,1
5,맛있게 먹었어요:) 양도 많고 밥이랑 같이 먹으려고 주문했는데 한공기 뚝딱 했습니다:),1
5,마약곱창이 생각나는 오늘 오늘은 모둠으로 시켰어용 넘넘 맛있게잘먹았어요 언제나 먹어두 맛이가 좋아용ㅎㅎ,1
5,서비스로 주신 계란찜 잘먹었습니다 다만 계란비린내가 좀 난건 아쉬웠어요,1
4,맛은 크게 변하지 않았는데 용기가 작은걸로 바뀌어서인지 평소보다 곱창랑은 적다고 느꼈네요. 그래도 진짜 맵고 콜라도 코카라 괜찮습니다,1
5,2주한번은먹는듯요 곱창은여기가최고!!,1
5,넘 맛있어욤 냄새도 안 나고 2명이서 먹었는데 양도 많아여,1
5,처음시켜 먹어봤는데 대박 맛있어요~~ 단골찜~~~~~^^,1
5,늘 맛있어요~~~~~ 고추가 조금 맵네요ㅠㅠㅠ맵지만 맛있어요!,1
5,역시나 믿고 먹는 곱창 맛집! 학교오자마자 찾아 먹었습니다!,1
4,양도 괜춘하고 맛있었어요 ㅎㅎㅎㅎ,1
5,곱창볶음2단계 매콤하고 맛있어요.서비스로 계란찜도 오고 좋네요~벌써 2번째 시켜먹음~다음에 또 시킬게요~,1
5,정말 맛잌게 잘 먹었습니다,1
5,여기 완존 맛있어요^^ 근데 거리가 있어서 그런가 오래 걸리네요.,1
5,곱창덕후인데.. 코로나땜에 나가서 먹지도몬하고.. 먹고싶어서 기대반두려움반으로 주문. 아아.. 둘이먹기넴 살짝 부족. 맛은 아아.. 맛있었음. 또 시킬거임. 사장님 서비스 고마워요. 내돈주고 내가사먹은 후기,1
